,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Way,Spend
74,0,1,6,2,13.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
75,2,0,5,2,42.0,0,7406.0,0.0,0.0,0.0,0.0,22,7406.0
76,2,1,5,2,2.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
77,2,0,5,2,8.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
78,0,0,6,2,24.0,0,688.0,0.0,0.0,0.0,17.0,02,705.0
79,1,1,2,2,40.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
80,0,0,5,2,43.0,0,211.0,0.0,0.0,638.0,513.0,02,1362.0
81,2,1,4,1,45.0,0,0.0,0.0,0.0,0.0,0.0,21,0.0
82,0,1,6,2,35.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
84,0,0,5,2,27.0,0,1.0,697.0,31.0,188.0,0.0,02,917.0
85,0,0,6,2,19.0,0,0.0,0.0,670.0,1.0,34.0,02,705.0
87,0,1,6,2,3.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
88,1,0,0,2,54.0,0,0.0,1208.0,0.0,3.0,637.0,12,1848.0
89,0,0,6,2,26.0,0,0.0,856.0,5.0,32.0,0.0,02,893.0
90,0,0,6,2,26.0,0,0.0,2811.0,957.0,0.0,87.0,02,3855.0
91,0,0,5,1,23.0,0,311.0,427.0,526.0,37.0,0.0,01,1301.0
94,0,0,5,2,18.0,0,0.0,0.0,0.0,830.0,91.0,02,921.0
96,0,1,6,0,9.0,0,0.0,0.0,0.0,0.0,0.0,00,0.0
97,0,1,6,2,6.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
99,2,0,3,2,21.0,0,1743.0,5.0,17.0,0.0,0.0,22,1765.0
100,0,1,6,2,23.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
101,0,0,6,2,31.0,0,562.0,0.0,326.0,0.0,0.0,02,888.0
105,1,0,1,2,42.0,0,2209.0,11418.0,0.0,1868.0,445.0,12,15940.0
106,1,1,1,2,28.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
107,1,1,4,2,29.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
108,1,0,1,0,48.0,1,0.0,2537.0,87.0,17.0,13.0,10,2654.0
109,0,0,5,2,64.0,0,0.0,0.0,804.0,0.0,0.0,02,804.0
110,0,0,6,2,27.0,0,82.0,157.0,429.0,238.0,1.0,02,907.0
112,1,0,3,2,33.0,0,1.0,2223.0,0.0,12.0,404.0,12,2640.0
114,1,1,0,2,13.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
116,0,0,6,2,29.0,0,0.0,0.0,0.0,699.0,74.0,02,773.0
117,0,0,5,2,18.0,0,55.0,597.0,49.0,0.0,1.0,02,702.0
118,2,1,5,2,67.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
119,2,0,4,2,35.0,0,701.0,0.0,296.0,0.0,25.0,22,1022.0
120,2,0,3,2,61.0,1,2353.0,334.0,9.0,316.0,2.0,22,3014.0
121,2,0,4,2,45.0,0,2103.0,6.0,0.0,0.0,0.0,22,2109.0
123,2,1,5,2,19.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
124,2,0,3,2,36.0,0,2738.0,0.0,0.0,0.0,0.0,22,2738.0
125,0,0,6,2,19.0,0,0.0,14.0,730.0,0.0,0.0,02,744.0
126,0,0,6,1,47.0,0,97.0,418.0,126.0,25.0,55.0,01,721.0
127,0,1,6,2,13.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
129,1,1,2,0,35.0,0,0.0,0.0,0.0,0.0,0.0,10,0.0
130,0,1,6,2,24.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
131,0,0,5,2,26.0,0,440.0,0.0,0.0,0.0,462.0,02,902.0
133,0,0,5,2,20.0,0,0.0,420.0,210.0,0.0,0.0,02,630.0
134,0,0,6,2,56.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
135,0,1,6,2,50.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
136,2,0,5,2,42.0,0,1072.0,0.0,10.0,0.0,76.0,22,1158.0
138,0,1,6,0,38.0,0,0.0,0.0,0.0,0.0,0.0,00,0.0
140,0,0,6,2,22.0,0,4119.0,0.0,0.0,0.0,61.0,02,4180.0
141,1,1,1,2,26.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
142,1,1,1,2,17.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
144,0,1,6,1,17.0,0,0.0,0.0,0.0,0.0,0.0,01,0.0
146,2,1,5,2,13.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
147,2,0,5,2,27.0,0,1365.0,0.0,48.0,22.0,137.0,22,1572.0
148,0,1,6,2,31.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
149,0,0,4,2,24.0,0,0.0,0.0,0.0,221.0,567.0,02,788.0
150,0,1,6,1,19.0,0,0.0,0.0,0.0,0.0,0.0,01,0.0
151,0,1,6,2,32.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
153,0,0,5,0,21.0,0,287.0,0.0,16.0,115.0,175.0,00,593.0
154,1,0,1,2,38.0,0,0.0,10346.0,1.0,14970.0,2111.0,12,27428.0
155,2,0,3,2,38.0,0,3414.0,0.0,161.0,28.0,119.0,22,3722.0
156,0,0,6,2,19.0,0,1.0,219.0,673.0,2.0,11.0,02,906.0
157,0,0,6,2,0.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
158,0,0,6,2,3.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
159,0,0,6,2,20.0,0,0.0,0.0,3.0,299.0,92.0,02,394.0
160,1,1,2,2,24.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
161,0,0,5,2,37.0,0,17.0,146.0,426.0,0.0,232.0,02,821.0
162,0,0,6,2,25.0,0,62.0,0.0,0.0,0.0,956.0,02,1018.0
163,0,1,6,2,56.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
164,0,0,4,0,49.0,0,84.0,3.0,401.0,202.0,98.0,00,788.0
165,0,1,6,0,11.0,0,0.0,0.0,0.0,0.0,0.0,00,0.0
166,0,1,6,2,1.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
167,0,0,6,2,8.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
168,0,0,6,2,39.0,0,0.0,0.0,10.0,898.0,0.0,02,908.0
169,2,1,5,2,2.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
171,2,0,5,2,0.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
172,2,0,5,2,39.0,0,406.0,0.0,867.0,0.0,0.0,22,1273.0
173,2,0,3,1,25.0,0,1052.0,0.0,719.0,0.0,7.0,21,1778.0
174,1,0,2,2,36.0,0,0.0,972.0,0.0,795.0,575.0,12,2342.0
176,0,1,6,2,18.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
177,0,1,6,2,15.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
178,1,1,1,2,35.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
179,1,1,1,2,47.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
180,1,1,1,0,45.0,0,0.0,0.0,0.0,0.0,0.0,10,0.0
182,1,1,2,2,51.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
183,0,0,6,2,29.0,0,0.0,2.0,66.0,0.0,705.0,02,773.0
185,0,1,6,1,19.0,0,0.0,0.0,0.0,0.0,0.0,01,0.0
187,2,0,5,2,29.0,0,902.0,1.0,137.0,0.0,0.0,22,1040.0
188,2,1,5,2,11.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
189,2,0,5,2,17.0,0,848.0,0.0,307.0,182.0,0.0,22,1337.0
190,0,0,4,2,13.0,0,192.0,0.0,0.0,51.0,739.0,02,982.0
191,0,0,5,2,35.0,0,147.0,188.0,0.0,10.0,387.0,02,732.0
192,0,0,5,2,21.0,0,367.0,281.0,0.0,0.0,146.0,02,794.0
193,0,0,5,0,21.0,0,0.0,56.0,0.0,0.0,1918.0,00,1974.0
194,0,0,5,2,38.0,0,1517.0,0.0,0.0,27.0,0.0,02,1544.0
195,0,1,6,2,19.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
196,0,1,6,2,2.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
197,0,0,6,2,0.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
198,0,1,6,2,13.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
200,0,0,5,2,16.0,0,0.0,3.0,0.0,0.0,1099.0,02,1102.0
201,0,0,6,0,1.0,0,0.0,0.0,0.0,0.0,0.0,00,0.0
202,0,1,6,2,15.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
203,2,0,4,0,21.0,0,2237.0,0.0,119.0,0.0,0.0,20,2356.0
204,2,0,4,2,23.0,0,1215.0,80.0,1.0,2.0,0.0,22,1298.0
205,2,0,4,2,33.0,0,1933.0,12.0,188.0,1.0,0.0,22,2134.0
206,2,1,4,2,21.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
207,2,0,4,2,41.0,0,1230.0,0.0,301.0,43.0,1023.0,22,2597.0
208,2,0,4,2,16.0,0,915.0,0.0,221.0,234.0,0.0,22,1370.0
209,2,1,4,2,42.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
210,2,0,5,2,20.0,0,1406.0,0.0,0.0,11.0,0.0,22,1417.0
211,2,1,5,2,24.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
212,2,1,4,2,16.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
213,0,0,6,2,21.0,0,0.0,2.0,665.0,0.0,9.0,02,676.0
214,2,0,5,2,32.0,1,181.0,0.0,5.0,1634.0,0.0,22,1820.0
215,0,1,6,1,58.0,0,0.0,0.0,0.0,0.0,0.0,01,0.0
216,0,0,5,2,24.0,0,4.0,7.0,0.0,713.0,79.0,02,803.0
217,2,0,5,2,30.0,0,85.0,0.0,1.0,1720.0,0.0,22,1806.0
219,2,0,5,2,32.0,0,56.0,0.0,256.0,1438.0,0.0,22,1750.0
221,1,1,1,2,42.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
223,2,1,5,2,35.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
226,0,1,6,2,21.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
229,1,0,2,0,46.0,0,0.0,3571.0,0.0,0.0,7.0,10,3578.0
230,1,0,2,2,33.0,0,0.0,86.0,796.0,584.0,10912.0,12,12378.0
231,2,0,3,2,21.0,0,2947.0,0.0,287.0,27.0,0.0,22,3261.0
232,1,0,2,2,33.0,0,0.0,1.0,0.0,8620.0,1063.0,12,9684.0
235,0,0,5,2,30.0,0,335.0,695.0,541.0,0.0,0.0,02,1571.0
236,0,0,6,2,29.0,0,272.0,615.0,0.0,0.0,1.0,02,888.0
237,0,0,5,2,21.0,0,702.0,172.0,408.0,2.0,6.0,02,1290.0
238,1,1,0,2,24.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
240,2,1,5,2,60.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
241,0,0,5,2,22.0,0,0.0,0.0,313.0,299.0,92.0,02,704.0
242,1,0,4,2,26.0,0,0.0,4810.0,0.0,981.0,2054.0,12,7845.0
243,0,0,5,2,26.0,0,66.0,29.0,0.0,0.0,803.0,02,898.0
244,0,1,6,2,28.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
246,0,0,5,2,13.0,0,118.0,0.0,0.0,754.0,1.0,02,873.0
247,0,0,5,0,47.0,0,0.0,231.0,592.0,0.0,0.0,00,823.0
248,0,0,5,2,63.0,0,0.0,25.0,128.0,0.0,1240.0,02,1393.0
250,0,0,5,0,50.0,0,44.0,2390.0,0.0,53.0,0.0,00,2487.0
252,0,0,6,2,45.0,0,0.0,97.0,0.0,14.0,333.0,02,444.0
253,0,0,5,2,19.0,0,0.0,0.0,2078.0,0.0,0.0,02,2078.0
254,0,0,5,2,21.0,0,0.0,918.0,0.0,0.0,0.0,02,918.0
255,0,1,6,1,29.0,0,0.0,0.0,0.0,0.0,0.0,01,0.0
256,0,0,5,2,22.0,0,146.0,654.0,1.0,0.0,2.0,02,803.0
257,1,1,4,2,14.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
258,1,1,4,0,42.0,0,0.0,0.0,0.0,0.0,0.0,10,0.0
259,0,0,5,0,57.0,0,3.0,1281.0,29.0,162.0,13.0,00,1488.0
261,1,0,1,2,28.0,0,0.0,587.0,32.0,6.0,1460.0,12,2085.0
262,0,0,5,0,19.0,0,0.0,0.0,0.0,0.0,828.0,00,828.0
263,1,1,2,0,19.0,0,0.0,0.0,0.0,0.0,0.0,10,0.0
264,1,0,1,0,26.0,0,0.0,4458.0,0.0,1157.0,262.0,10,5877.0
265,1,1,1,2,17.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
267,1,0,1,0,9.0,0,0.0,0.0,0.0,0.0,0.0,10,0.0
268,1,0,3,2,40.0,0,0.0,6500.0,88.0,1090.0,0.0,12,7678.0
270,0,0,6,2,24.0,0,90.0,2.0,1324.0,17.0,0.0,02,1433.0
271,1,1,0,0,57.0,0,0.0,0.0,0.0,0.0,0.0,10,0.0
273,0,0,5,2,23.0,0,0.0,0.0,15.0,0.0,1370.0,02,1385.0
275,1,0,4,2,28.0,0,0.0,422.0,0.0,1851.0,5166.0,12,7439.0
276,1,0,2,0,23.0,0,0.0,584.0,0.0,20.0,2469.0,10,3073.0
277,0,0,4,2,23.0,0,368.0,175.0,259.0,1.0,101.0,02,904.0
278,0,0,5,2,18.0,0,0.0,0.0,1359.0,0.0,0.0,02,1359.0
279,0,0,5,2,18.0,0,1194.0,0.0,157.0,6.0,0.0,02,1357.0
281,0,0,5,1,60.0,0,7.0,540.0,1.0,0.0,4.0,01,552.0
283,0,0,5,0,49.0,0,331.0,0.0,0.0,318.0,0.0,00,649.0
284,0,0,6,0,0.0,0,0.0,0.0,0.0,0.0,0.0,00,0.0
285,0,0,6,0,26.0,0,386.0,0.0,74.0,0.0,1330.0,00,1790.0
292,0,1,6,1,13.0,0,0.0,0.0,0.0,0.0,0.0,01,0.0
293,0,1,6,0,43.0,0,0.0,0.0,0.0,0.0,0.0,00,0.0
294,0,1,6,2,29.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
296,1,0,2,2,2.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
297,1,0,2,2,32.0,0,247.0,4651.0,0.0,46.0,202.0,12,5146.0
298,1,0,2,2,33.0,0,443.0,317.0,0.0,148.0,1260.0,12,2168.0
299,0,0,5,2,25.0,0,0.0,0.0,251.0,0.0,552.0,02,803.0
300,2,1,5,0,29.0,0,0.0,0.0,0.0,0.0,0.0,20,0.0
301,2,0,5,2,29.0,0,5715.0,2.0,211.0,1476.0,0.0,22,7404.0
302,0,0,5,2,44.0,0,695.0,1.0,16.0,0.0,0.0,02,712.0
303,2,1,5,0,2.0,0,0.0,0.0,0.0,0.0,0.0,20,0.0
304,2,0,5,2,19.0,0,417.0,349.0,634.0,3.0,1057.0,22,2460.0
305,2,0,5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,20,0.0
307,1,1,1,0,38.0,0,0.0,0.0,0.0,0.0,0.0,10,0.0
308,0,1,6,1,5.0,0,0.0,0.0,0.0,0.0,0.0,01,0.0
309,0,0,5,1,31.0,0,121.0,0.0,0.0,274.0,907.0,01,1302.0
310,2,1,4,2,30.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
311,0,1,6,0,15.0,0,0.0,0.0,0.0,0.0,0.0,00,0.0
312,2,0,5,2,27.0,0,434.0,0.0,1434.0,0.0,0.0,22,1868.0
313,2,0,3,2,22.0,0,142.0,2876.0,202.0,3.0,0.0,22,3223.0
315,0,1,6,1,14.0,0,0.0,0.0,0.0,0.0,0.0,01,0.0
316,2,0,5,2,23.0,0,2001.0,0.0,2975.0,0.0,0.0,22,4976.0
318,1,1,1,0,36.0,0,0.0,0.0,0.0,0.0,0.0,10,0.0
320,0,1,6,2,50.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
321,0,1,6,1,32.0,0,0.0,0.0,0.0,0.0,0.0,01,0.0
322,0,0,5,1,26.0,0,148.0,0.0,453.0,0.0,88.0,01,689.0
323,0,0,5,2,15.0,0,358.0,212.0,33.0,0.0,112.0,02,715.0
324,0,0,5,0,33.0,0,0.0,36.0,0.0,280.0,417.0,00,733.0
326,2,0,5,2,26.0,0,2832.0,107.0,4447.0,15.0,4.0,22,7405.0
327,2,1,5,2,61.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
328,0,0,6,2,24.0,0,0.0,0.0,592.0,177.0,58.0,02,827.0
329,0,0,5,2,30.0,0,0.0,95.0,0.0,441.0,1023.0,02,1559.0
330,2,1,5,2,24.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
331,0,0,5,2,24.0,0,0.0,5.0,0.0,2766.0,0.0,02,2771.0
332,0,1,6,2,41.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
333,0,0,4,2,20.0,0,0.0,0.0,558.0,0.0,230.0,02,788.0
334,0,0,6,2,22.0,0,116.0,0.0,786.0,6.0,0.0,02,908.0
335,1,0,2,0,63.0,0,0.0,1068.0,0.0,176.0,8188.0,10,9432.0
336,1,0,1,0,18.0,0,17.0,215.0,4.0,5132.0,697.0,10,6065.0
337,1,1,1,0,21.0,0,0.0,0.0,0.0,0.0,0.0,10,0.0
338,1,0,1,2,79.0,0,5649.0,235.0,7.0,2579.0,2175.0,12,10645.0
339,1,1,1,2,56.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
340,1,1,1,2,13.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
341,1,0,1,2,33.0,0,0.0,2491.0,6.0,1173.0,1059.0,12,4729.0
342,1,1,1,2,32.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
343,0,0,6,2,31.0,0,198.0,0.0,591.0,0.0,164.0,02,953.0
345,1,1,1,0,18.0,0,0.0,0.0,0.0,0.0,0.0,10,0.0
348,0,0,6,2,28.0,0,82.0,773.0,0.0,3693.0,140.0,02,4688.0
349,0,1,6,1,34.0,0,0.0,0.0,0.0,0.0,0.0,01,0.0
350,0,0,6,0,0.0,0,0.0,0.0,0.0,0.0,0.0,00,0.0
351,0,0,6,2,14.0,0,3.0,0.0,881.0,25.0,0.0,02,909.0
352,0,0,6,2,23.0,0,13.0,747.0,0.0,0.0,128.0,02,888.0
353,0,1,6,2,49.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
354,0,1,6,2,14.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
355,0,0,4,2,18.0,0,391.0,44.0,356.0,0.0,0.0,02,791.0
356,1,0,2,1,27.0,1,69.0,5728.0,0.0,0.0,987.0,11,6784.0
357,0,0,4,2,48.0,0,0.0,111.0,0.0,1508.0,0.0,02,1619.0
358,1,0,1,0,31.0,1,0.0,11003.0,552.0,8157.0,5688.0,10,25400.0
359,1,0,1,0,61.0,0,1.0,608.0,0.0,3835.0,1.0,10,4445.0
360,0,1,6,2,18.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
361,2,1,5,2,45.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
362,2,0,3,2,22.0,0,28.0,420.0,36.0,6011.0,3.0,22,6498.0
363,2,0,3,2,30.0,1,1056.0,0.0,0.0,0.0,0.0,22,1056.0
364,2,0,3,2,30.0,0,1770.0,0.0,0.0,13.0,0.0,22,1783.0
366,2,0,3,2,43.0,1,353.0,896.0,0.0,0.0,2.0,22,1251.0
369,0,0,5,2,20.0,0,0.0,465.0,0.0,5.0,223.0,02,693.0
370,0,1,6,2,39.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
371,2,0,4,2,35.0,0,1134.0,113.0,52.0,0.0,0.0,22,1299.0
372,2,0,5,2,31.0,0,0.0,0.0,1116.0,2.0,0.0,22,1118.0
373,0,0,5,0,21.0,0,0.0,150.0,0.0,567.0,0.0,00,717.0
374,0,0,5,2,16.0,0,691.0,0.0,101.0,140.0,0.0,02,932.0
375,1,0,2,2,60.0,0,0.0,7255.0,5952.0,1537.0,0.0,12,14744.0
376,0,0,5,2,18.0,0,0.0,157.0,0.0,352.0,60.0,02,569.0
377,0,1,6,2,42.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
378,1,1,1,0,68.0,0,0.0,0.0,0.0,0.0,0.0,10,0.0
379,1,0,1,0,22.0,0,0.0,1170.0,0.0,5467.0,1241.0,10,7878.0
380,1,1,1,2,59.0,0,0.0,0.0,0.0,0.0,0.0,12,0.0
382,2,0,5,2,37.0,0,1094.0,2.0,26.0,34.0,1.0,22,1157.0
383,2,1,5,2,3.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
384,2,1,5,2,31.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
386,1,0,2,2,29.0,0,0.0,4118.0,0.0,715.0,3139.0,12,7972.0
387,1,0,0,0,20.0,0,2.0,10116.0,0.0,2.0,225.0,10,10345.0
388,1,1,0,0,46.0,0,0.0,0.0,0.0,0.0,0.0,10,0.0
389,0,0,5,2,29.0,0,0.0,1026.0,0.0,16.0,0.0,02,1042.0
390,2,1,5,2,43.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
391,2,0,5,2,17.0,0,1483.0,10.0,0.0,0.0,0.0,22,1493.0
393,1,0,1,2,47.0,0,4.0,891.0,0.0,2962.0,3656.0,12,7513.0
394,2,1,5,2,45.0,0,0.0,0.0,0.0,0.0,0.0,22,0.0
395,0,1,6,2,17.0,0,0.0,0.0,0.0,0.0,0.0,02,0.0
396,0,0,6,0,10.0,0,0.0,0.0,0.0,0.0,0.0,00,0.0
397,0,0,6,1,56.0,0,46.0,11.0,0.0,622.0,0.0,01,679.0
398,0,0,5,2,39.0,0,382.0,0.0,22.0,467.0,0.0,02,871.0
399,0,0,5,1,40.0,0,7.0,0.0,840.0,26.0,0.0,01,873.0
402,0,0,5,0,32.0,0,0.0,0.0,0.0,722.0,0.0,00,722.0
403,0,0,5,2,35.0,0,7.0,1043.0,0.0,0.0,0.0,02,1050.0
404,2,0,3,2,32.0,1,2484.0,429.0,102.0,0.0,0.0,22,3015.0
406,0,0,5,2,25.0,0,1352.0,0.0,0.0,24.0,799.0,02,2175.0
408,1,1,1,0,22.0,0,0.0,0.0,0.0,0.0,0.0,10,0.0
